Content,Date_Posted,Date_Replied,Date_of_Experience,Name,Ratings,Reply,Review,Title
"We're a long term business client accepting payments via Stripe. The customer service is very easy to contact but the responses are often sub-par. One representative will understand your request, they'll transfer you to a colleague, you'll need to repeat everything all over again, the new person won't read the notes and they'll refer you to a support article that isn't relevant at all. It's a lot of time wasted and it feels like going in circles.",2024-09-20T10:47:11.000Z,2024-09-20T10:58:04.000Z,"September 20, 2024",Peter A,Rated 3 out of 5 stars,"Hi Peter, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high-quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you. Our team will review your account, and if we have more information to share, we'll reach out to you via email.",3,We're a long term business client…
This is one of the most Trustable platform ever because I reside in Bangladesh where paypal is not allowed thus I used this platform to get payment from foreign client.,2024-09-19T15:36:48.000Z,2024-09-19T15:50:29.000Z,"September 19, 2024",Gelacto Boujie,Rated 3 out of 5 stars,Hi—we're happy to hear you're enjoying the service and really appreciate your feedback.,1,This is one of the most Trustable…
Stripe is biggest fraud company,2024-09-23T08:51:43.000Z,2024-09-23T09:12:05.000Z,"September 03, 2024",Michle John,Rated 1 out of 5 stars,"We appreciate your feedback here, Michle. We aim to offer our services for all, however, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. We’re happy to take another look at the issue you’ve raised here to make sure things are working as intended—we’ll reach out to you via email if we have more information to share.",1,Stripe is biggest fraud company
I called with a question and they were able to walk me through it over the phone in just a matter of minutes ,2024-09-24T14:03:27.000Z,2024-09-24T14:10:44.000Z,"September 19, 2024",Cameron P,Rated 5 out of 5 stars,"Glad to hear we could help—we really appreciate your feedback here, Cameron.",1,I called with a question and they were…
"I have ran into problem with my implementation of own logic behind the Gravity Form plug.-in. Both time I have opened ticket with the company and received excellent support from two very friendly and smart persons that really took the time to understand the situation and collaborate for the best resolution. Fast, precise and nice in their respons. I really appreciate their great work.",2024-09-12T22:06:48.000Z,2024-09-12T22:22:42.000Z,"September 12, 2024",Peter B,Rated 5 out of 5 stars,"Hi Peter, thank you for the kind words—we really appreciate your feedback!",1,I had problem in the integration of Stripe Web-hooks 
Our company zzoutlet used stripe for many years and 1 month ago they closed our account and said that all money on our balance will not be available for withdraw and they will get this money in accordance with Section 5.6 of Service Terms for Stripe Payments.,2024-09-22T21:19:15.000Z,2024-09-22T21:33:09.000Z,"September 21, 2024",Eynar Mahmudov,Rated 1 out of 5 stars,"Hi Eynar, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",1,Fraud company stole our komey
They are a scam  took the money paid by one of our customers and  keep it Do not trust them they will pay a couple os small invoices when you get a larger amount due they do not pay you,2024-09-24T01:44:12.000Z,2024-09-24T01:55:33.000Z,"September 01, 2024",neko chan,Rated 1 out of 5 stars,"Hi Neko, looks like we’ve followed up with you on your previous review—we’re sorry to hear that your issue is still ongoing. Please contact us using one of the support options available on https://support.stripe.com/contact/, and we’ll work to resolve your issue as quickly as possible.",2,They are a scam  took the money paid by…
"We are one of the long term client of Stripe with mutliple businesses using their services, providing millions of dollar in terms of transaction. Asked for supports and shared all the issues that we been through. They practically brush us off and allow our customers to send dispute on us when they have used our products.",2024-09-21T13:57:39.000Z,2024-09-21T14:08:49.000Z,"July 21, 2024",Support,Rated 1 out of 5 stars,"Hi there, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you—our team will review your account, and if we have more information to share, we'll reach out to you via email.",1,We are one of the long term client of…
I am beyond disappointed. how can this Stripe even be in Business??? it's the worst site ever. Over the years and I'm still  having to reset user and password and emails and it never remembers me. how inconvenient. I really need to connect with some sites to sell. ,2024-09-22T14:15:08.000Z,2024-09-22T14:30:03.000Z,"September 22, 2024",Normas Bath,Rated 1 out of 5 stars,"Hi there, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you. ",2,I am beyond disappointed
Customer service agent keeps replying with the same story about the account is being reviewed for verification while having my money held. I have gave them all the requested documentation also gave them my contact number to ring me but they won’t ring and When I ask to speak to someone higher I just get an automated response. If this isn’t resolved ASAP I will be taking legal action against them. ,2024-09-21T17:24:54.000Z,2024-09-21T17:37:57.000Z,"September 06, 2024",Ross Duggan,Rated 1 out of 5 stars,"We appreciate your feedback here, Ross. We aim to offer our services for all, however, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. We’re happy to take another look at the issue you’ve raised here to make sure things are working as intended—we’ll reach out to you via email if we have more information to share.",1,Customer service agent keeps replying…
